cbsaname,cbsa,shapefile
"Abilene, TX",10180,abilene-tx-dorling-v2.geojson
"Akron, OH",10420,akron-oh-dorling-v2.geojson
"Albany, GA",10500,albany-ga-dorling-v2.geojson
"Albany-Schenectady-Troy, NY",10580,albany-schenectady-troy-ny-dorling-v2.geojson
"Albuquerque, NM",10740,albuquerque-nm-dorling-v2.geojson
"Alexandria, LA",10780,alexandria-la-dorling-v2.geojson
"Allentown-Bethlehem-Easton, PA-NJ",10900,allentown-bethlehem-easton-pa-nj-dorling-v2.geojson
"Altoona, PA",11020,altoona-pa-dorling-v2.geojson
"Amarillo, TX",11100,amarillo-tx-dorling-v2.geojson
"Ames, IA",11180,ames-ia-dorling-v2.geojson
"Anchorage, AK",11260,anchorage-ak-dorling-v2.geojson
"Anderson, IN",11300,anderson-in-dorling-v2.geojson
"Anderson, SC",11340,anderson-sc-dorling-v2.geojson
"Ann Arbor, MI",11460,ann-arbor-mi-dorling-v2.geojson
"Anniston-Oxford, AL",11500,anniston-oxford-al-dorling-v2.geojson
"Asheville, NC",11700,asheville-nc-dorling-v2.geojson
"Athens-Clarke County, GA",12020,athens-clarke-county-ga-dorling-v2.geojson
"Atlan City, NJ",12100,atlan--city-nj-dorling-v2.geojson
"Atlanta-Sandy Springs-Marietta, GA",12060,atlanta-sandy-springs-marietta-ga-dorling-v2.geojson
"Auburn-Opelika, AL",12220,auburn-opelika-al-dorling-v2.geojson
"Augusta-Richmond County, GA-SC",12260,augusta-richmond-county-ga-sc-dorling-v2.geojson
"Austin-Round Rock, TX",12420,austin-round-rock-tx-dorling-v2.geojson
"Bakersfield, CA",12540,bakersfield-ca-dorling-v2.geojson
"Baltimore-Towson, MD",12580,baltimore-towson-md-dorling-v2.geojson
"Bangor, ME",12620,bangor-me-dorling-v2.geojson
"Barnstable Town, MA",12700,barnstable-town-ma-dorling-v2.geojson
"Baton Rouge, LA",12940,baton-rouge-la-dorling-v2.geojson
"Battle Creek, MI",12980,battle-creek-mi-dorling-v2.geojson
"Bay City, MI",13020,bay-city-mi-dorling-v2.geojson
"Beaumont-Port Arthur, TX",13140,beaumont-port-arthur-tx-dorling-v2.geojson
"Bend, OR",13460,bend-or-dorling-v2.geojson
"Bethesda-Frederick-Gaithersburg, MD",13644,bethesda-frederick-gaithersburg-md-dorling-v2.geojson
"Billings, MT",13740,billings-mt-dorling-v2.geojson
"Binghamton, NY",13780,binghamton-ny-dorling-v2.geojson
"Birmingham-Hoover, AL",13820,birmingham-hoover-al-dorling-v2.geojson
"Bismarck, ND",13900,bismarck-nd-dorling-v2.geojson
"Bloomington, IN",14020,bloomington-in-dorling-v2.geojson
"Bloomington-Normal, IL",14060,bloomington-normal-il-dorling-v2.geojson
"Boise City-Nampa, ID",14260,boise-city-nampa-id-dorling-v2.geojson
"Boston-Quincy, MA",14484,boston-quincy-ma-dorling-v2.geojson
"Boulder, CO",14500,boulder-co-dorling-v2.geojson
"Bowling Green, KY",14540,bowling-green-ky-dorling-v2.geojson
"Bridgeport-Stamford-Norwalk, CT",14860,bridgeport-stamford-norwalk-ct-dorling-v2.geojson
"Brownsville-Harlingen, TX",15180,brownsville-harlingen-tx-dorling-v2.geojson
"Brunswick, GA",15260,brunswick-ga-dorling-v2.geojson
"Buffalo-Niagara Falls, NY",15380,buffalo-niagara-falls-ny-dorling-v2.geojson
"Burlington, NC",15500,burlington-nc-dorling-v2.geojson
"Burlington-South Burlington, VT",15540,burlington-south-burlington-vt-dorling-v2.geojson
"Cambridge-Newton-Framingham, MA",15764,cambridge-newton-framingham-ma-dorling-v2.geojson
"Camden, NJ",15804,camden-nj-dorling-v2.geojson
"Canton-Massillon, OH",15940,canton-massillon-oh-dorling-v2.geojson
"Cape Coral-Fort Myers, FL",15980,cape-coral-fort-myers-fl-dorling-v2.geojson
"Carson City, NV",16180,carson-city-nv-dorling-v2.geojson
"Cedar Rapids, IA",16300,cedar-rapids-ia-dorling-v2.geojson
"Champaign-Urbana, IL",16580,champaign-urbana-il-dorling-v2.geojson
"Charleston-North Charleston, SC",16700,charleston-north-charleston-sc-dorling-v2.geojson
"Charlotte-Gastonia-Concord, NC-SC",16740,charlotte-gastonia-concord-nc-sc-dorling-v2.geojson
"Charlottesville, VA",16820,charlottesville-va-dorling-v2.geojson
"Chattanooga, TN-GA",16860,chattanooga-tn-ga-dorling-v2.geojson
"Chicago-Naperville-Joliet, IL",16974,chicago-naperville-joliet-il-dorling-v2.geojson
"Chico, CA",17020,chico-ca-dorling-v2.geojson
"Cincinnati-Middletown, OH-KY-IN",17140,cincinnati-middletown-oh-ky-in-dorling-v2.geojson
"Clarksville, TN-KY",17300,clarksville-tn-ky-dorling-v2.geojson
"Cleveland, TN",17420,cleveland-elyria-mentor-oh-dorling-v2.geojson
"Cleveland-Elyria-Mentor, OH",17460,cleveland-tn-dorling-v2.geojson
"Coeur d'Alene, ID",17660,coeur-d'alene-id-dorling-v2.geojson
"College Station-Bryan, TX",17780,college-station-bryan-tx-dorling-v2.geojson
"Colorado Springs, CO",17820,colorado-springs-co-dorling-v2.geojson
"Columbia, MO",17860,columbia-mo-dorling-v2.geojson
"Columbia, SC",17900,columbia-sc-dorling-v2.geojson
"Columbus, GA-AL",17980,columbus-ga-al-dorling-v2.geojson
"Columbus, IN",18020,columbus-in-dorling-v2.geojson
"Columbus, OH",18140,columbus-oh-dorling-v2.geojson
"Corpus Christi, TX",18580,corpus-christi-tx-dorling-v2.geojson
"Corvallis, OR",18700,corvallis-or-dorling-v2.geojson
"Cumberland, MD-WV",19060,cumberland-md-wv-dorling-v2.geojson
"Dallas-Plano-Irving, TX",19124,dallas-plano-irving-tx-dorling-v2.geojson
"Dalton, GA",19140,dalton-ga-dorling-v2.geojson
"Danville, IL",19180,danville-il-dorling-v2.geojson
"Davenport-Moline-Rock Island, IA-IL",19340,davenport-moline-rock-island-ia-il-dorling-v2.geojson
"Dayton, OH",19380,dayton-oh-dorling-v2.geojson
"Decatur, AL",19460,decatur-al-dorling-v2.geojson
"Decatur, IL",19500,decatur-il-dorling-v2.geojson
"Deltona-Daytona Beach-Ormond Beach, FL",19660,deltona-daytona-beach-ormond-beach-fl-dorling-v2.geojson
"Denver-Aurora, CO",19740,denver-aurora-co-dorling-v2.geojson
"Des Moines, IA",19780,des-moines-ia-dorling-v2.geojson
"Detroit-Livonia-Dearborn, MI",19804,detroit-livonia-dearborn-mi-dorling-v2.geojson
"Dothan, AL",20020,dothan-al-dorling-v2.geojson
"Dover, DE",20100,dover-de-dorling-v2.geojson
"Dubuque, IA",20220,dubuque-ia-dorling-v2.geojson
"Duluth, MN-WI",20260,duluth-mn-wi-dorling-v2.geojson
"Durham, NC",20500,durham-nc-dorling-v2.geojson
"Edison, NJ",20764,edison-nj-dorling-v2.geojson
"El Centro, CA",20940,el-centro-ca-dorling-v2.geojson
"El Paso, TX",21340,el-paso-tx-dorling-v2.geojson
"Elizabethtown, KY",21060,elizabethtown-ky-dorling-v2.geojson
"Elkhart-Goshen, IN",21140,elkhart-goshen-in-dorling-v2.geojson
"Elmira, NY",21300,elmira-ny-dorling-v2.geojson
"Erie, PA",21500,erie-pa-dorling-v2.geojson
"Essex County, MA",21604,essex-county-ma-dorling-v2.geojson
"Eugene-Springfield, OR",21660,eugene-springfield-or-dorling-v2.geojson
"Evansville, IN-KY",21780,evansville-in-ky-dorling-v2.geojson
"Fairbanks, AK",21820,fairbanks-ak-dorling-v2.geojson
"Fargo, ND-MN",22020,fargo-nd-mn-dorling-v2.geojson
"Farmington, NM",22140,farmington-nm-dorling-v2.geojson
"Fayetteville, NC",22180,fayetteville-nc-dorling-v2.geojson
"Fayetteville-Springdale-Rogers, AR-MO",22220,fayetteville-springdale-rogers-ar-mo-dorling-v2.geojson
"Flagstaff, AZ",22380,flagstaff-az-dorling-v2.geojson
"Flint, MI",22420,flint-mi-dorling-v2.geojson
"Florence, SC",22500,florence-muscle-shoals-al-dorling-v2.geojson
"Florence-Muscle Shoals, AL",22520,florence-sc-dorling-v2.geojson
"Fort Collins-Loveland, CO",22660,fort-collins-loveland-co-dorling-v2.geojson
"Fort Smith, AR-OK",22900,fort-smith-ar-ok-dorling-v2.geojson
"Fort Walton Beach-Crestview-Destin, FL",23020,fort-walton-beach-crestview-destin-fl-dorling-v2.geojson
"Fort Wayne, IN",23060,fort-wayne-in-dorling-v2.geojson
"Fort Worth-Arlington, TX",23104,fort-worth-arlington-tx-dorling-v2.geojson
"Fresno, CA",23420,fresno-ca-dorling-v2.geojson
Ft Lauderdale-Pompano Beach-Deerfield,22744,ft-lauderdale-pompano-beach-deerfield-dorling-v2.geojson
"Gadsden, AL",23460,gadsden-al-dorling-v2.geojson
"Gainesville, FL",23540,gainesville-fl-dorling-v2.geojson
"Gainesville, GA",23580,gainesville-ga-dorling-v2.geojson
"Gary, IN ivision",23844,gary-in--ivision-dorling-v2.geojson
"Glens Falls, NY",24020,glens-falls-ny-dorling-v2.geojson
"Goldsboro, NC",24140,goldsboro-nc-dorling-v2.geojson
"Grand Forks, ND-MN",24220,grand-forks-nd-mn-dorling-v2.geojson
"Grand Junction, CO",24300,grand-junction-co-dorling-v2.geojson
"Grand Rapids-Wyoming, MI",24340,grand-rapids-wyoming-mi-dorling-v2.geojson
"Great Falls, MT",24500,great-falls-mt-dorling-v2.geojson
"Greeley, CO",24540,greeley-co-dorling-v2.geojson
"Greensboro-High Point, NC",24660,greensboro-high-point-nc-dorling-v2.geojson
"Greenville, NC",24780,greenville-nc-dorling-v2.geojson
"Greenville, SC",24860,greenville-sc-dorling-v2.geojson
"Gulfport-Biloxi, MS",25060,gulfport-biloxi-ms-dorling-v2.geojson
"Hagerstown-Martinsburg, MD-WV",25180,hagerstown-martinsburg-md-wv-dorling-v2.geojson
"Hanford-Corcoran, CA",25260,hanford-corcoran-ca-dorling-v2.geojson
"Harrisburg-Carlisle, PA",25420,harrisburg-carlisle-pa-dorling-v2.geojson
"Hartford-West Hartford-East Hartford, C",25540,hartford-west-hartford-east-hartford-c-dorling-v2.geojson
"Hattiesburg, MS",25620,hattiesburg-ms-dorling-v2.geojson
