"","cbsa","id2","treatment","rent00","hinc00","pnhwht12","pnhblk12","phisp12","ppov12","punemp12","hinc12","hincb12","hincw12","phs12","pcol12","pown12","mhmval12","Treated","Control"
"22051020101","35380",22051020101,0,642,36420,81.77999878,1.830000043,15.61999989,8.739999771,4.400000095,51628,31786,59815,40.66999817,29.95999908,58.34999847,244600,0,1
"22051020102","35380",22051020102,0,337,52399,87.16000366,1.690000057,6.389999866,6.420000076,1.039999962,60143,49940.7174925069,61721,31.47999954,36.68000031,88.58000183,240200,0,1
"22051020201","35380",22051020201,0,650,38056,72.18000031,6.659999847,9.710000038,9.159999847,3.529999971,54476,46125,54355,23.04999924,45.65999985,42.15000153,296500,0,1
"22051020202","35380",22051020202,0,1387,26317,22.52000046,32.66999817,38.06000137,28.86000061,12.64000034,36011,37589,37788,46.36999893,24.94000053,12.01000023,89100,0,1
"22051020203","35380",22051020203,0,533,65172,67.51999664,3.660000086,20.29999924,12.02999973,8.359999657,86952,31754,93125,33.59999847,37.97999954,80.58999634,303300,0,1
"22051020301","35380",22051020301,0,33,69877,77.01000214,0.129999995,10.39000034,9.789999962,2.24000001,86047,49940.7174925069,86926,32.02000046,47.24000168,89.81999969,286800,0,1
"22051020302","35380",22051020302,0,513,55368,74.29000092,2.779999971,13.38000011,5.170000076,4.099999905,74958,11151,76825,31.27000046,45.79999924,73.97000122,276900,0,1
"22051020303","35380",22051020303,0,162,52917,91.66999817,0,6.480000019,4.369999886,2.369999886,62339,49940.7174925069,62917,45.20000076,29.07999992,87.75,197200,0,1
"22051020400","35380",22051020400,0,31.70358426,78084.36103,83.04000092,0.029999999,12.85000038,3.309999943,1.899999976,91875,49940.7174925069,91944,25.85000038,47.79999924,96.22000122,261800,0,1
"22051020502","35380",22051020502,1,907.2627685,38443.15301,49.25999832,10.31000042,35.25999832,6.760000229,3.900000095,48342,17875,48097,59.65000153,12.52000046,59.38999939,145200,1,0
"22051020505","35380",22051020505,0,232,23024,12.97999954,77.41999817,9.609999657,15.39999962,8.489999771,41776,42813,39167,62.09000015,11.81000042,73.51999664,127300,0,1
"22051020506","35380",22051020506,0,961.7075183,40441.64811,59.33000183,11.27999973,25.53000069,23.53000069,11.89000034,47959,31020,56354,50.70000076,18.29000092,65.5,198800,0,1
"22051020507","35380",22051020507,0,496,43433,68.23999786,8.619999886,18.61000061,6.090000153,5.050000191,49528,44457,49340,43.97000122,21.75,62.77000046,165800,0,1
"22051020508","35380",22051020508,1,600,45466,62.40000153,14.80000019,18.17000008,6.25,7.5,66863,44632,77018,42.11000061,27.20000076,66.86000061,170600,1,0
"22051020511","35380",22051020511,0,657,49769,60.40999985,14.92000008,16.54000092,9.460000038,9.289999962,53636,41053,55045,25.52000046,32.93999863,65.63999939,224700,0,1
"22051020512","35380",22051020512,0,659,60100,57.95999908,9.340000153,23.09000015,13.43000031,6.690000057,52457,38710,65294,32.09000015,33.81000137,53.83000183,390300,0,1
"22051020513","35380",22051020513,0,823.1916367,43557.54615,50.16999817,17.19000053,22.88999939,17.61000061,5.039999962,50174,21389,56898,36.59999847,32.02000046,51.45999908,220500,0,1
"22051020514","35380",22051020514,0,25.84202453,88197.70959,86.97000122,0.029999999,10.21000004,0.779999971,3.400000095,99931,49940.7174925069,115543,29.70000076,48.70999908,100,278900,0,1
"22051020515","35380",22051020515,0,338.1924133,39698.99809,53.25999832,9.479999542,26.21999931,4.559999943,2.049999952,62197,68750,65250,59.27999878,12.03999996,82.33999634,178800,0,1
"22051020516","35380",22051020516,0,487.8075867,39699.00023,29.75,29.85000038,34.93000031,29.67000008,11.06000042,41042,23426,54821,59.59999847,10.60000038,50.25999832,153700,0,1
"22051020517","35380",22051020517,0,854,56269,87.94999695,3.180000067,6.900000095,0.939999998,5.260000229,82550,27422,88245,20.20000076,41.68999863,67.54000092,333500,0,1
"22051020600","35380",22051020600,1,1287.933594,22853.00067,9.619999886,67.62999725,22.5,30.43000031,19.12999916,30922,28699,44145,74.09999847,4.880000114,14.34000015,162500,1,0
"22051020700","35380",22051020700,0,252.0139115,22904.80162,29.05999947,52.93999863,14.43999958,22.72999954,6.380000114,30721,30532,36250,73.56999969,3.49000001,60.08000183,116200,0,1
"22051021000","35380",22051021000,0,249.7848969,31603.00059,43.97999954,34.88999939,19.04000092,17.70000076,11.80000019,43654,50400,43922,63.77000046,14.52000046,72.30000305,150800,0,1
"22051021100","35380",22051021100,0,198.9031677,35313.00077,77.36000061,5.210000038,12.48999977,20.23999977,16.79000092,52604,54750,46531,56.59000015,11.52999973,82.23999786,145300,0,1
"22051021200","35380",22051021200,0,520.0846558,26338.00027,50.61000061,25.54999924,17.87999916,15.69999981,18.17000008,27875,26776,24342,62.02999878,9.159999847,42.79999924,157800,0,1
"22051021300","35380",22051021300,0,67.2078023,48893.42718,77.12000275,2.880000114,15.97000027,8.18999958,1.710000038,66458,107578,68068,43.06000137,22.57999992,93.22000122,180200,0,1
"22051021400","35380",22051021400,0,47,57548,86.47000122,0.980000019,6,9.100000381,10.77999973,74531,49940.7174925069,72171,34.93000031,32.61000061,90.01000214,187300,0,1
"22051021500","35380",22051021500,0,1102,26538,43.09999847,31.11000061,14.01000023,30.90999985,13.85999966,27422,26420,30482,45.65000153,16.5,18.79000092,80000,0,1
"22051021600","35380",22051021600,0,1976,30055,63.29000092,15.98999977,18.82999992,15.78999996,9.869999886,36371,52404,35080,52.77999878,19.62000084,34.56000137,187300,0,1
"22051021700","35380",22051021700,0,899,40445,66.56999969,8.770000458,22.28000069,22.80999947,13.27000046,46649,47017,58272,38.56000137,26.23999977,55.84999847,211500,0,1
"22051021801","35380",22051021801,0,973,34837,67.90000153,18.07999992,12.64999962,4.179999828,9.710000038,51726,51042,54205,49.13000107,26.56999969,72.80000305,213100,0,1
"22051021803","35380",22051021803,0,2124.54834,27105.00075,27.94000053,40.63999939,17.32999992,29.60000038,3.529999971,31926,30143,41118,39.27999878,19.42000008,4.320000172,82100,0,1
"22051021804","35380",22051021804,0,1039.45166,27105.00143,30.04999924,24.18000031,43.18000031,22.48999977,6.369999886,36167,36473,43170,60.47999954,14.71000004,1.460000038,225209.682896467,0,1
"22051021900","35380",22051021900,0,686,34962,43.91999817,12.60000038,25.35000038,9.170000076,4.420000076,37160,26652,47500,41.95999908,20.94000053,32.59000015,187800,0,1
"22051022001","35380",22051022001,0,2190,27396,38.77999878,46.88000107,6.710000038,17.82999992,6.21999979,35469,34443,36996,48.22999954,21.97999954,12.63000011,205300,0,1
"22051022002","35380",22051022002,0,110,47411,96.16000366,0.579999983,1.980000019,5.489999771,3.650000095,60313,49940.7174925069,62868,27.57999992,37.38000107,90.88999939,196900,0,1
"22051022101","35380",22051022101,0,42,51042,90.02999878,0.129999995,0.74000001,0.340000004,3,80461,49940.7174925069,81579,16.09000015,61.09000015,96.52999878,259000,0,1
"22051022102","35380",22051022102,0,907,34954,79.08999634,9.640000343,3.299999952,17.87000084,4.789999962,32863,11903,35833,35.83000183,35.18999863,41.04999924,185400,0,1
"22051022200","35380",22051022200,0,228,43678,95.16999817,0.039999999,3.269999981,4.610000134,4.190000057,61743,49940.7174925069,61696,32.11999893,41.45999908,77.94999695,197900,0,1
"22051022301","35380",22051022301,0,292,51705,77.73999786,2.150000095,15.98999977,9.090000153,5.309999943,56250,73464,66250,29.75,37.16999817,77.37999725,225100,0,1
"22051022302","35380",22051022302,0,377.0360606,35144.17096,80.91000366,4.420000076,7.449999809,7.880000114,4.119999886,35625,7396,26919,36.63999939,37.29999924,56.75999832,190600,0,1
"22051022303","35380",22051022303,0,1323,31108,51.77999878,9.859999657,29.78000069,20.85000038,13.26000023,32288,21690,36889,50.18000031,22.70000076,13.77000046,120400,0,1
"22051022400","35380",22051022400,0,550.9639282,44352.99842,89.30999756,1.879999995,7.949999809,7.840000153,6.119999886,66838,49940.7174925069,67609,29.81999969,48.70000076,62.18000031,349400,0,1
"22051022500","35380",22051022500,0,562,40027,90.79000092,3.359999895,4.260000229,7.650000095,3.980000019,52250,155385,48750,35.70000076,41.81000137,63.81000137,258900,0,1
"22051022600","35380",22051022600,0,240.9268188,75865.99656,94.37999725,0,2.00999999,4.670000076,1.440000057,105561,49940.7174925069,106046,5.440000057,77.44999695,81.95999908,535500,0,1
"22051022700","35380",22051022700,0,382.1968265,41584.54271,94.94000244,0,4.409999847,6.989999771,4.829999924,71071,49940.7174925069,72232,25.53000069,46.40999985,66.76999664,242800,0,1
"22051022800","35380",22051022800,0,452.8031766,40002.6744,86.51999664,0.039999999,12.18000031,12.36999989,3.799999952,42976,49940.7174925069,45909,42.49000168,28.85000038,65.62999725,192600,0,1
"22051022900","35380",22051022900,0,593,33214,76.19000244,1.120000005,19.09000015,24.18000031,4.119999886,41875,12321,45588,50.13999939,21.94000053,59.61000061,195500,0,1
"22051023001","35380",22051023001,0,58,55806,91.81999969,1.620000005,6.25,2.519999981,4.659999847,68611,49940.7174925069,67743,41.18000031,31.81999969,92.62000275,205300,0,1
"22051023002","35380",22051023002,0,357,51225,84.45999908,4.71999979,9,6.389999866,5.420000076,55427,28661,55634,35.83000183,34.25999832,72.5,238300,0,1
"22051023003","35380",22051023003,0,58,58841,94.48000336,0.439999998,2.349999905,5.269999981,7.519999981,66146,49940.7174925069,64970,36.43000031,26.45000076,94.20999908,195300,0,1
"22051023100","35380",22051023100,0,486,32819,87.86000061,1.799999952,6.829999924,13.43000031,4.059999943,37051,49940.7174925069,36827,52.68000031,24.92000008,58.09999847,160300,0,1
"22051023200","35380",22051023200,0,427.6391296,34985.00141,81.40000153,1.210000038,14.97000027,13.22999954,10.07999992,44175,22375,44222,50.54000092,20.38999939,81.12999725,158600,0,1
"22051023300","35380",22051023300,0,56,47695,88.15000153,0.5,9.579999924,8.640000343,5.389999866,44783,49940.7174925069,44565,46.20000076,23.28000069,83.27999878,154900,0,1
"22051023400","35380",22051023400,0,66,50064,86.87999725,0,10.57999992,3.140000105,0.970000029,65756,49940.7174925069,61989,29.28000069,34.43000031,91.12999725,182500,0,1
"22051023500","35380",22051023500,0,98.09683418,48950.82187,86.29000092,1.029999971,10.68000031,3.25,5.099999905,58308,73214,60919,47.88000107,17.77000046,97,167800,0,1
"22051023600","35380",22051023600,0,445.5620602,32484.56978,69.45999908,12.35999966,13.44999981,8.869999886,6.519999981,52415,7072,58362,53.63999939,14.60000038,72.44999695,145700,0,1
"22051023700","35380",22051023700,0,325.3815005,20014.1959,0,95.08000183,4.289999962,19.95000076,18.98999977,25746,25726,60451.1686363636,69.54000092,7.889999866,61.33000183,109400,0,1
"22051023800","35380",22051023800,0,921,31790,50.65999985,39.15000153,8.619999886,23.04999924,5.119999886,38159,27667,49000,47.45999908,25.05999947,44.04999924,169500,0,1
"22051023901","35380",22051023901,0,135.7637796,59433.34422,95.58999634,0.779999971,3.069999933,5.449999809,2.190000057,76205,12250,79615,30.82999992,37.04999924,89.58999634,229200,0,1
